epic,instrumentName,instrumentType,expiry,high,low,percentageChange,netChange,updateTime,updateTimeUTC,bid,offer,delayTime,streamingPricesAvailable,marketStatus,scalingFactor
MT.D.PA.FWS2.IP,Palladium ($100),COMMODITIES,DEC-25,1444.25,1375.25,-3.78,-54.25,15:32:49,07:32:49,1376.75,1381.75,0,True,TRADEABLE,1
MT.D.PA.FWM2.IP,Palladium ($20),COMMODITIES,DEC-25,1444.25,1375.25,-3.78,-54.25,15:32:49,07:32:49,1376.75,1381.75,0,True,TRADEABLE,1
AB.D.SPDAU.CASH.IP,Southern Palladium Limited,SHARES,-,1.095,0.93,-4.71,-0.048,12:58:15,04:58:15,,,0,False,EDITS_ONLY,100
KA.D.TPDSLN.CASH.IP,GPF Physical Palladium ETC - GBP,SHARES,-,,,0.0,0.0,16:00:00,08:00:00,,,0,False,CLOSED,1
KA.D.2PALLN.CASH.IP,WisdomTree Palladium 2x Daily Leveraged,SHARES,-,,,0.0,0.0,00:29:56,16:29:56,,,0,False,ON_AUCTION,100
