epic,instrumentName,instrumentType,expiry,high,low,percentageChange,netChange,updateTime,updateTimeUTC,bid,offer,delayTime,streamingPricesAvailable,marketStatus,scalingFactor
UD.D.USGOUS.CASH.IP,US Goldmining Inc,SHARES,-,,,0.0,0.0,03:59:39,19:59:39,,,0,False,EDITS_ONLY,100
AB.D.TRLAU.CASH.IP,WIA Gold Limited,SHARES,-,0.34,0.32,-5.8,-0.02,12:59:43,04:59:43,,,0,False,EDITS_ONLY,100
KC.D.WSBNLN.CASH.IP,Wishbone Gold PLC,SHARES,-,,,-0.9,-0.01,21:37:02,13:37:02,,,0,False,EDITS_ONLY,1
KC.D.AUYLN.CASH.IP,Yamana Gold Inc (LSE),SHARES,-,420.0,420.0,-4.21,-20.0,16:00:00,08:00:00,,,0,False,CLOSED,1
AB.D.DDDAU.CASH.IP,Adelong Gold Limited,SHARES,-,0.012,0.01,-8.33,-0.001,09:31:49,01:31:49,,,0,False,EDITS_ONLY,100
AB.D.A1GAU.CASH.IP,African Gold Limited,SHARES,-,0.32,0.29,-9.09,-0.03,12:59:59,04:59:59,,,0,False,EDITS_ONLY,100
AB.D.PGIAU.CASH.IP,Antilles Gold Limited,SHARES,-,,,0.0,0.0,06:59:52,22:59:52,,,0,False,EDITS_ONLY,100
AB.D.AGDAU.CASH.IP,Austral Gold Limited,SHARES,-,0.085,0.068,-23.6,-0.021,12:59:24,04:59:24,,,0,False,EDITS_ONLY,100
AB.D.BGDAU.CASH.IP,Barton Gold Holdings Limited,SHARES,-,1.135,1.075,-9.16,-0.11,13:00:25,05:00:25,,,20,False,EDITS_ONLY,100
AB.D.DRGAU.CASH.IP,Bellevue Gold Limited,SHARES,-,1.125,1.078,-3.45,-0.04,12:58:08,04:58:08,,,0,False,EDITS_ONLY,100
KC.D.CASLN.CASH.IP,Big River Gold Limited,SHARES,-,,,0.0,0.0,20:00:00,12:00:00,,,0,False,CLOSED,1
